train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
11.750811576843262,5.064940452575684,0.027217742055654526,0,30,,,,,,,,,,,,
,,,1,49,0.04899999871850014,6.986175537109375,4.7549004554748535,0.21875,,,,,,,,
,,,1,49,,,,,7.047145843505859,4.728333950042725,0.33000001311302185,0.31721559166908264,7.043124198913574,4.794257640838623,0.16443690657615662,0.1518934816122055
7.6039204597473145,4.7962327003479,0.2016129046678543,1,61,,,,,,,,,,,,
2.3832221031188965,4.353143215179443,0.3578628897666931,2,92,,,,,,,,,,,,
,,,3,99,0.0989999994635582,0.457822322845459,4.00937032699585,0.375,,,,,,,,
,,,3,99,,,,,0.5199459195137024,3.9870598316192627,0.4699999988079071,0.44639095664024353,0.5075914263725281,4.249507904052734,0.23422524333000183,0.21246691048145294
0.3203355073928833,3.9173731803894043,0.4334677457809448,3,123,,,,,,,,,,,,
,,,4,149,0.14900000393390656,0.2046370804309845,3.2752490043640137,0.59375,,,,,,,,
,,,4,149,,,,,0.19053971767425537,3.011895179748535,0.6700000166893005,0.5946744084358215,0.18980853259563446,3.604276180267334,0.37340256571769714,0.32188543677330017
0.1449694037437439,3.379304885864258,0.5433467626571655,4,154,,,,,,,,,,,,
0.20075739920139313,2.672823190689087,0.6340726017951965,5,185,,,,,,,,,,,,
,,,6,199,0.19900000095367432,0.21457555890083313,1.9264875650405884,0.65625,,,,,,,,
,,,6,199,,,,,0.26817360520362854,1.802539348602295,0.75,0.4885331392288208,0.27505722641944885,2.6504876613616943,0.47813498973846436,0.3220357298851013
0.23113836348056793,1.9423209428787231,0.7016128897666931,6,216,,,,,,,,,,,,
0.19732525944709778,1.3328701257705688,0.8114919066429138,7,247,,,,,,,,,,,,
