train_loss_epoch,train_acc_epoch,train_acc_top5_epoch,epoch,step,lr,train_DIV_LOSS,train_esemble_loss,train_max_cosine,train_min_cosine,train_avg_cosine,train_loss_step,train_acc_step,train_acc_top5_step,val_DIV_LOSS,val_esemble_loss,val_max_cosine,val_min_cosine,val_avg_cosine,val_loss,val_acc,val_acc_top5,val_ece,test_DIV_LOSS,test_esemble_loss,test_max_cosine,test_min_cosine,test_avg_cosine,test_loss,test_acc,test_acc_top5,test_ece
5.574136257171631,0.005050505045801401,0.018939394503831863,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,49,0.014700000174343586,13.127492904663086,4.603754997253418,0.993538498878479,0.9898725152015686,0.9917201995849609,5.643857955932617,0.0,0.0,,,,,,,,,,,,,,,,,,
5.481923580169678,0.007575757801532745,0.02904040366411209,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.173533916473389,0.008838383480906487,0.047979798167943954,2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,99,0.02969999983906746,11.106101989746094,4.6037774085998535,0.9861819744110107,0.9810014367103577,0.9834697246551514,5.154375076293945,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,3,99,,,,,,,,,,10.160979270935059,4.60382080078125,0.9811320304870605,0.9752616882324219,0.97734534740448,4.8316874504089355,0.019999999552965164,0.10000000149011612,0.02229633554816246,10.156044006347656,4.603797435760498,0.9811924695968628,0.9750121831893921,0.9775097370147705,4.827548027038574,0.018984798341989517,0.0840827077627182,0.022062867879867554
4.5949811935424805,0.016414141282439232,0.06628787517547607,3,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,149,0.04470000043511391,7.062136650085449,4.6032280921936035,0.9462578892707825,0.9310303330421448,0.9346558451652527,4.176703453063965,0.0,0.0,,,,,,,,,,,,,,,,,,
4.042856693267822,0.030934343114495277,0.10984848439693451,4,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5799777507781982,0.04734848439693451,0.15593434870243073,5,197,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,199,0.059700001031160355,4.80772590637207,4.601022720336914,0.8721264004707336,0.8467321395874023,0.8554423451423645,3.5555949211120605,0.0,0.0,,,,,,,,,,,,,,,,,,
,,,6,199,,,,,,,,,,5.0295867919921875,4.601266384124756,0.8845750689506531,0.8653280735015869,0.8682329654693604,3.505396842956543,0.09000000357627869,0.25999999046325684,0.08383998274803162,5.061394214630127,4.601393699645996,0.8862572312355042,0.8657667636871338,0.8710237145423889,3.511474847793579,0.0976218432188034,0.25919264554977417,0.08767785876989365
3.1955575942993164,0.06691919267177582,0.20328283309936523,6,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,249,0.0746999979019165,2.179149627685547,4.577743053436279,0.709486722946167,0.5718342661857605,0.6306219696998596,2.810807943344116,0.0,0.125,,,,,,,,,,,,,,,,,,
2.8444433212280273,0.06565656512975693,0.25063130259513855,7,263,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5803210735321045,0.041035354137420654,0.26325756311416626,8,296,,,,,,,,,,,,,,,,,,,,,,,,,,,
